"Total_BacDive_ids";"Phylum";"Class";"Order";"Family";"Genus";"gram_stain_positive";"gram_stain_negative";"cell_length_<=_0.9";"cell_length_>_0.9_to_1.3";"cell_length_>_1.3_to_2";"cell_length_>_2";"cell_width_<=_0.3";"cell_width_>_0.3_to_0.5";"cell_width_>_0.5_to_0.7";"cell_width_>_0.7";"cell_shape_coccus-shaped";"cell_shape_rod-shaped";"cell_shape_filament-shaped";"cell_shape_ovoid-shaped";"cell_shape_pleomorphic-shaped";"cell_shape_curved-shaped";"cell_shape_other";"cell_shape_spiral-shaped";"motility_no";"motility_yes";"flagellum_arrangement_polar";"flagellum_arrangement_peritrichous";"flagellum_arrangement_gliding";"pigmentation_production_yes";"pigmentation_production_no";"colony_color_colorless";"colony_color_cream";"colony_color_yellow";"colony_color_white";"colony_color_brown";"colony_color_pink";"colony_color_orange";"colony_color_red";"colony_color_grey";"colony_color_green";"colony_color_blue";"forms_multicellular_complex_no";"forms_multicellular_complex_yes";"temperature_opt_<=_10";"temperature_opt_>_10_to_22";"temperature_opt_>_22_to_32";"temperature_opt_>_32_to_42";"temperature_opt_>_42";"temperature_preference_psychrophilic";"temperature_preference_psychrotrophic";"temperature_preference_mesophilic";"temperature_preference_thermophilic";"temperature_range_<=_10";"temperature_range_>_10_to_22";"temperature_range_>_22_to_32";"temperature_range_>_32_to_42";"temperature_range_>_42";"temperature_delta_<=_10";"temperature_delta_>_10_to_25";"temperature_delta_>_25_to_40";"temperature_delta_>_40";"pH_opt_<=_5";"pH_opt_>_5_to_6.5";"pH_opt_>_6.5_to_7.5";"pH_opt_>_7.5_to_8.5";"pH_opt_>_8.5";"pH_preference_acidophile";"pH_preference_acido-neutrophile";"pH_preference_neutrophile";"pH_preference_alkalino-neutrophile";"pH_preference_alkalino-alkaliphile";"pH_range_<=_5";"pH_range_>_5_to_6.5";"pH_range_>_6.5_to_7.5";"pH_range_>_7.5_to_8.5";"pH_range_>_8.5";"pH_delta_<=_1.5";"pH_delta_>_1.5_to_3.5";"pH_delta_>_3.5_to_5.5";"pH_delta_>_5.5";"spore_formation_no";"spore_formation_yes";"halophily_opt_<=_1";"halophily_opt_>_1_to_4";"halophily_opt_>_4_to_8";"halophily_opt_>_8";"halophily_preference_non-halophilic";"halophily_preference_weakly";"halophily_preference_moderate";"halophily_preference_extreme";"halophily_range_<=_1";"halophily_range_>_1_to_4";"halophily_range_>_4_to_8";"halophily_range_>_8";"halophily_delta_<=_1";"halophily_delta_>_1_to_5";"halophily_delta_>_5_to_9";"halophily_delta_>_9";"oxygen_tolerance_facultative";"oxygen_tolerance_microaerophile";"oxygen_tolerance_anaerobe";"oxygen_tolerance_aerobe";"antibiotic_resistance_frequency_<=_0.15";"antibiotic_resistance_frequency_>_0.15_to_0.85";"antibiotic_resistance_frequency_>_0.85";"energy_source_chemotroph";"energy_source_phototroph";"electron_donnor_organotroph";"electron_donnor_lithotroph";"carbon_source_autotroph";"carbon_source_heterotroph";"biosafety_level_1";"biosafety_level_2";"biosafety_level_3";"gc_content_<=_40.2";"gc_content_>_40.2_to_56.4";"gc_content_>_56.4_to_68.1";"gc_content_>_68.1";"rRNA16S_gene_copies_<=_3";"rRNA16S_gene_copies_>_3_to_5";"rRNA16S_gene_copies_>_5_to_7";"rRNA16S_gene_copies_>_7";"estimated_genome_size_<=_3.036";"estimated_genome_size_>_3.036_to_5.196";"estimated_genome_size_>_5.196_to_7.49";"estimated_genome_size_>_7.49"
165;"Pseudomonadota";"Gammaproteobacteria";"Legionellales";"Legionellaceae";"Legionella";0;1;0;0;1;0;0;1;0;0;0;0,986666666666667;0;0,0133333333333333;0;0;0;0;0,722972972972973;0,277027027027027;1;0;0;0,8;0,2;0;0;0;0;0;0;0;0;0;0;1;NA;NA;0;0;0,5;0,5;0;0,00153846153846154;0,0712820512820513;0,927179487179487;0;NA;NA;NA;NA;NA;0,545454545454545;0,363636363636364;0,0909090909090909;0;0;0;1;0;0;0,166666666666667;0,166666666666667;0,333333333333333;0,166666666666667;0,166666666666667;NA;NA;NA;NA;NA;0;0;1;0;1;0;0;0;1;0;0,25;0,5;0,25;0;NA;NA;NA;NA;0;0;0;1;0,0298507462686567;0,940298507462687;0;0,0298507462686567;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,220183486238532;0,779816513761468;0;0,454545454545455;0,545454545454545;0;0;0,848484848484849;0,151515151515152;0;0;0,0853658536585366;0,914634146341463;0;0
3;"Actinomycetota";"Actinobacteria";"Micrococcales";"Microbacteriaceae";"Rhodoglobus";1;0;NA;NA;NA;NA;NA;NA;NA;NA;0;1;0;0;0;0;0;0;0,666666666666667;0,333333333333333;NA;NA;NA;NA;NA;0,166666666666667;0;0;0;0,833333333333333;0;0;0;0;0;0;1;0;0;1;0;0;0;0,108333333333333;0,566666666666667;0,325;0;NA;NA;NA;NA;NA;0;0;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,177777777777778;0,288888888888889;0,533333333333333;0;NA;NA;NA;NA;0;0;0;1;0,333333333333333;0;0;0,666666666666667;1;0;0;NA;NA;NA;NA;NA;NA;1;0;0;0;0;1;0;NA;NA;NA;NA;0,666666666666667;0,333333333333333;0;0
1;"Actinomycetota";"Actinobacteria";"Micrococcales";"Microbacteriaceae";"Diaminobutyricibacter";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;0;1;0;0
7;"Pseudomonadota";"Alphaproteobacteria";"Rhodobacterales";"Paracoccaceae";"Leisingera";0;1;NA;NA;NA;NA;NA;NA;NA;NA;0;0,5;0;0,5;0;0;0;0;0,166666666666667;0,833333333333333;NA;NA;NA;0,666666666666667;0,333333333333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0,666666666666667;0,333333333333333;0;0,076388888888889;0,743055555555555;0,180555555555556;0;NA;NA;NA;NA;NA;0;0;0,666666666666667;0,333333333333333;0;0,111111111111111;0,611111111111111;0,277777777777778;0;0;0,228571428571429;0,361904761904762;0,295238095238095;0,114285714285714;NA;NA;NA;NA;NA;0;1;0;0;1;0;0,111111111111111;0,777777777777778;0,111111111111111;0;0,194444444444444;0,611111111111111;0,194444444444444;0;NA;NA;NA;NA;0;0,333333333333333;0,666666666666667;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;1;0;0;1;0;0;0;0,642857142857143;0,357142857142857;0
18;"Pseudomonadota";"Gammaproteobacteria";"Enterobacterales";"Enterobacteriaceae";"Lelliottia";0;1;NA;NA;NA;NA;NA;NA;NA;NA;0;0,875;0;0,125;0;0;0;0;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,118954248366013;0,537254901960784;0,343790849673203;0;NA;NA;NA;NA;NA;0;0;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,714285714285714;0,142857142857143;0;0,142857142857143;0,166666666666667;0;0,833333333333333;NA;NA;NA;NA;NA;NA;0,208333333333333;0,791666666666667;0;0;0,5;0,5;0;0;0;0,6875;0,3125;0;1;0;0
7;"Pseudomonadota";"Gammaproteobacteria";"Enterobacterales";"Budviciaceae";"Leminorella";0;1;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;1;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,0416666666666667;0,0972222222222222;0,861111111111111;0;NA;NA;NA;NA;NA;0,5;0;0,5;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;NA;NA;NA;NA;0;0;1;0;0;1;0;0
79;"Bacillota";"Bacilli";"Bacillales";"Bacillaceae";"Virgibacillus";0,893939393939394;0,106060606060606;0;0,19047619047619;0,714285714285714;0,0952380952380952;0,19047619047619;0,523809523809524;0,238095238095238;0,0476190476190476;0;0,939393939393939;0;0,0606060606060606;0;0;0;0;0,0588235294117647;0,941176470588235;0,181818181818182;0,818181818181818;0;0,777777777777778;0,222222222222222;0;0,466666666666667;0,141666666666667;0,116666666666667;0,075;0,075;0,025;0,025;0,075;0;0;NA;NA;0;0;0,416666666666667;0,583333333333333;0;0,0767996960304653;0,609250365019596;0,281359879436803;0,0325900595131365;NA;NA;NA;NA;NA;0,0303030303030303;0,0909090909090909;0,545454545454545;0,333333333333333;0;0,0238095238095238;0,833333333333333;0,0952380952380952;0,0476190476190476;0,0376847290640394;0,325451559934319;0,292200328407225;0,176026272577997;0,16863711001642;NA;NA;NA;NA;NA;0,0416666666666667;0,5;0,375;0,0833333333333333;0,0416666666666667;0,958333333333333;0,0185185185185185;0,185185185185185;0,435185185185185;0,361111111111111;0,276653439153439;0,25281746031746;0,284338624338624;0,186190476190476;NA;NA;NA;NA;0;0;0,0344827586206897;0,96551724137931;0;0,0416666666666667;0;0,958333333333333;0,222222222222222;0,777777777777778;0;NA;NA;NA;NA;0;1;1;0;0;0,763157894736842;0,236842105263158;0;0;0;0;0,928571428571429;0,0714285714285714;0;1;0;0
23;"Bacillota";"Bacilli";"Bacillales";"Bacillaceae";"Lentibacillus";0,961538461538462;0,0384615384615385;0,166666666666667;0,166666666666667;0,666666666666667;0;0,2;0,7;0,1;0;0;1;0;0;0;0;0;0;0,307692307692308;0,692307692307692;0,2;0,8;0;1;0;0;0,65;0,2;0,15;0;0;0;0;0;0;0;NA;NA;0;0;0,291666666666667;0,708333333333333;0;0,0833234946871311;0,276869342778434;0,595036402990948;0,0447707595434868;NA;NA;NA;NA;NA;0;0,230769230769231;0,615384615384615;0,153846153846154;0;0,0641025641025641;0,67948717948718;0,256410256410256;0;0,0802197802197803;0,245054945054945;0,314285714285714;0,241758241758242;0,118681318681319;NA;NA;NA;NA;NA;0,0769230769230769;0,615384615384615;0,307692307692308;0;0,0769230769230769;0,923076923076923;0;0,0384615384615385;0,153846153846154;0,807692307692308;0,0456099456099456;0,208158508158508;0,364724164724165;0,381507381507382;NA;NA;NA;NA;0;0;0;1;0,111111111111111;0;0;0,888888888888889;0,666666666666667;0,333333333333333;0;NA;NA;NA;NA;NA;NA;1;0;0;0;1;0;0;0;0;1;0;0,133333333333333;0,866666666666667;0;0
3;"Pseudomonadota";"Alphaproteobacteria";"Rhodobacterales";"Paracoccaceae";"Lentibacter";NA;NA;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;NA;NA;NA;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;0;0;NA;NA;NA;NA;NA;1;0;0;0;NA;NA;NA;NA;NA;0,2;0,2;0,2;0,2;0,2;NA;NA;NA;NA;NA;0;0;0;1;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0,5;0,5;0;1;0;0;0;1;0;0;0
1;"Bacillota";"Clostridia";"Eubacteriales";NA;"Lentihominibacter";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0
